연도,행정구역,학령인구(명)
2023,경상북도 경산시,35961.0
2024,경상북도 경산시,35224.0
2025,경상북도 경산시,33661.0
2026,경상북도 경산시,34149.0
2027,경상북도 경산시,33930.0
2028,경상북도 경산시,34326.0
2029,경상북도 경산시,34092.0
2030,경상북도 경산시,34386.0
2021,경상북도 경주시,32386.0
2022,경상북도 경주시,30813.0
2023,경상북도 경주시,28780.0
2024,경상북도 경주시,26595.0
2025,경상북도 경주시,24123.0
2026,경상북도 경주시,23611.0
2027,경상북도 경주시,23134.0
2028,경상북도 경주시,22710.0
2029,경상북도 경주시,22274.0
2030,경상북도 경주시,21901.0
2021,경상북도 고령군,3379.0
2022,경상북도 고령군,3096.0
2023,경상북도 고령군,2750.0
2024,경상북도 고령군,2492.0
2025,경상북도 고령군,2338.0
2026,경상북도 고령군,2224.0
2027,경상북도 고령군,2105.0
2028,경상북도 고령군,1995.0
2029,경상북도 고령군,1884.0
2030,경상북도 고령군,1778.0
2021,경상북도 구미시,78475.0
2022,경상북도 구미시,76342.0
2023,경상북도 구미시,73391.0
2024,경상북도 구미시,70582.0
2025,경상북도 구미시,67782.0
2026,경상북도 구미시,67393.0
2027,경상북도 구미시,66854.0
2028,경상북도 구미시,66556.0
2029,경상북도 구미시,66082.0
2030,경상북도 구미시,65852.0
2021,경상북도 군위군,1370.0
2022,경상북도 군위군,1279.0
2023,경상북도 군위군,1072.0
2024,경상북도 군위군,878.0
2025,경상북도 군위군,840.0
2026,경상북도 군위군,866.0
2027,경상북도 군위군,797.0
2028,경상북도 군위군,741.0
2029,경상북도 군위군,679.0
2030,경상북도 군위군,621.0
2021,경상북도 김천시,18752.0
2022,경상북도 김천시,18549.0
2023,경상북도 김천시,17921.0
2024,경상북도 김천시,17186.0
2025,경상북도 김천시,16277.0
2026,경상북도 김천시,16570.0
2027,경상북도 김천시,16280.0
2028,경상북도 김천시,16514.0
2029,경상북도 김천시,16307.0
2030,경상북도 김천시,16474.0
2021,경상북도 문경시,8373.0
2022,경상북도 문경시,8172.0
2023,경상북도 문경시,7748.0
2024,경상북도 문경시,7053.0
2025,경상북도 문경시,6122.0
2026,경상북도 문경시,5830.0
2027,경상북도 문경시,5523.0
2028,경상북도 문경시,5242.0
2029,경상북도 문경시,4931.0
2030,경상북도 문경시,4622.0
2021,경상북도 봉화군,3723.0
2022,경상북도 봉화군,3514.0
2023,경상북도 봉화군,3362.0
2024,경상북도 봉화군,3104.0
2025,경상북도 봉화군,3019.0
2026,경상북도 봉화군,2930.0
2027,경상북도 봉화군,2827.0
2028,경상북도 봉화군,2723.0
2029,경상북도 봉화군,2622.0
2030,경상북도 봉화군,2516.0
2021,경상북도 상주시,11996.0
2022,경상북도 상주시,11664.0
2023,경상북도 상주시,10887.0
2024,경상북도 상주시,10224.0
2025,경상북도 상주시,9417.0
2026,경상북도 상주시,9585.0
2027,경상북도 상주시,9371.0
2028,경상북도 상주시,9503.0
2029,경상북도 상주시,9313.0
2030,경상북도 상주시,9423.0
2021,경상북도 성주군,4329.0
2022,경상북도 성주군,4087.0
2023,경상북도 성주군,3831.0
2024,경상북도 성주군,3522.0
2025,경상북도 성주군,3243.0
2026,경상북도 성주군,3138.0
2027,경상북도 성주군,2938.0
2028,경상북도 성주군,2785.0
2029,경상북도 성주군,2609.0
2030,경상북도 성주군,2443.0
2021,경상북도 안동시,20631.0
2022,경상북도 안동시,19913.0
2023,경상북도 안동시,18616.0
2024,경상북도 안동시,16986.0
2025,경상북도 안동시,15164.0
2026,경상북도 안동시,14383.0
2027,경상북도 안동시,13930.0
2028,경상북도 안동시,13681.0
2029,경상북도 안동시,13553.0
2030,경상북도 안동시,13491.0
2021,경상북도 영덕군,3105.0
2022,경상북도 영덕군,2902.0
2023,경상북도 영덕군,2598.0
2024,경상북도 영덕군,2184.0
2025,경상북도 영덕군,1912.0
2026,경상북도 영덕군,1866.0
2027,경상북도 영덕군,1699.0
2028,경상북도 영덕군,1614.0
2029,경상북도 영덕군,1458.0
2030,경상북도 영덕군,1352.0
2021,경상북도 영양군,1126.0
2022,경상북도 영양군,1042.0
2023,경상북도 영양군,979.0
2024,경상북도 영양군,861.0
2025,경상북도 영양군,804.0
2026,경상북도 영양군,807.0
2027,경상북도 영양군,754.0
2028,경상북도 영양군,708.0
2029,경상북도 영양군,661.0
2030,경상북도 영양군,617.0
2021,경상북도 영주시,13101.0
2022,경상북도 영주시,12485.0
2023,경상북도 영주시,11800.0
2024,경상북도 영주시,10714.0
2025,경상북도 영주시,9716.0
2026,경상북도 영주시,9452.0
2027,경상북도 영주시,9450.0
2028,경상북도 영주시,9419.0
