행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),행정구역
강원특별자치도,삼척시,2020,65496.5,17.990000000000002,18.95,358.46000000000004,633.6899999999999,209.19,135.78,8756.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2021,63695.52,17.990000000000002,17.96,288.35,680.0,182.58,132.55,8350.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2022,63714.71,16.979999999999997,17.96,295.79,755.0200000000001,191.1,103.81,8113.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2023,63397.51,17.97,18.959999999999997,281.65,772.84,182.19,109.73,7834.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2024,62936.73,17.97,17.97,270.54,789.6700000000001,172.01999999999998,103.76,7546.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2025,62481.380000000005,16.97,17.97,259.45000000000005,806.03,163.04,101.74,7263.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2026,61959.479999999996,16.97,17.97,248.39000000000001,823.49,154.92000000000002,97.75,6994.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2027,61408.07,16.959999999999997,16.979999999999997,238.32,841.12,146.91,94.75,6733.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2028,60844.72,16.959999999999997,16.979999999999997,229.26000000000002,858.38,138.83,91.75,6483.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2029,60296.29,16.95,16.979999999999997,219.21,876.22,131.81,88.76,6242.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2030,59749.88,15.96,15.99,211.16,895.3199999999999,124.75,85.76,6010.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2031,59201.479999999996,15.96,15.99,202.12,914.23,118.71,83.75,5788.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2032,58655.119999999995,15.95,15.99,194.07,933.28,112.66,80.75,5574.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2033,58111.8,15.95,15.99,186.04,953.22,106.63,77.75,5369.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2034,57585.38,15.94,15.0,178.01,973.25,101.59,75.75,5171.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2035,57068.75,14.95,15.0,170.98,993.2099999999999,95.57,73.74,4981.0,강원특별자치도 삼척시
