연도,행정구역,학령인구(명)
2030,경기도 시흥시,75626.0
2021,경기도 안산시,100325.0
2022,경기도 안산시,96022.0
2023,경기도 안산시,92406.0
2024,경기도 안산시,88715.0
2025,경기도 안산시,86608.0
2026,경기도 안산시,86495.0
2027,경기도 안산시,86137.0
2028,경기도 안산시,85624.0
2029,경기도 안산시,85050.0
2030,경기도 안산시,84447.0
2021,경기도 안성시,28203.0
2022,경기도 안성시,27799.0
2023,경기도 안성시,27366.0
2024,경기도 안성시,26705.0
2025,경기도 안성시,26058.0
2026,경기도 안성시,25597.0
2027,경기도 안성시,25284.0
2028,경기도 안성시,25077.0
2029,경기도 안성시,24942.0
2030,경기도 안성시,24908.0
2021,경기도 안양시,87051.0
2022,경기도 안양시,83666.0
2023,경기도 안양시,81155.0
2024,경기도 안양시,79247.0
2025,경기도 안양시,77863.0
2026,경기도 안양시,76856.0
2027,경기도 안양시,75924.0
2028,경기도 안양시,75059.0
2029,경기도 안양시,74419.0
2030,경기도 안양시,73846.0
2021,경기도 양주시,34460.0
2022,경기도 양주시,34859.0
2023,경기도 양주시,35234.0
2024,경기도 양주시,33401.0
2025,경기도 양주시,31011.0
2026,경기도 양주시,29080.0
2027,경기도 양주시,27152.0
2028,경기도 양주시,25366.0
2029,경기도 양주시,23819.0
2030,경기도 양주시,22518.0
2021,경기도 양평군,15653.0
2022,경기도 양평군,15586.0
2023,경기도 양평군,15493.0
2024,경기도 양평군,15197.0
2025,경기도 양평군,14815.0
2026,경기도 양평군,14561.0
2027,경기도 양평군,14385.0
2028,경기도 양평군,14233.0
2029,경기도 양평군,14127.0
2030,경기도 양평군,14036.0
2021,경기도 연천군,6023.0
2022,경기도 연천군,5855.0
2023,경기도 연천군,5631.0
2024,경기도 연천군,5350.0
2025,경기도 연천군,4831.0
2026,경기도 연천군,4499.0
2027,경기도 연천군,4170.0
2028,경기도 연천군,3900.0
2029,경기도 연천군,3620.0
2030,경기도 연천군,3303.0
2021,경기도 오산시,42304.0
2022,경기도 오산시,42070.0
2023,경기도 오산시,41605.0
2024,경기도 오산시,41046.0
2025,경기도 오산시,40132.0
2026,경기도 오산시,39679.0
2027,경기도 오산시,39419.0
2028,경기도 오산시,39115.0
2029,경기도 오산시,38787.0
2030,경기도 오산시,38659.0
2021,경기도 용인시,194956.0
2022,경기도 용인시,193227.0
2023,경기도 용인시,190611.0
2024,경기도 용인시,189015.0
2025,경기도 용인시,186414.0
2026,경기도 용인시,182654.0
2027,경기도 용인시,179029.0
2028,경기도 용인시,175536.0
2029,경기도 용인시,172540.0
2030,경기도 용인시,169903.0
2021,경기도 의왕시,26325.0
2022,경기도 의왕시,25930.0
2023,경기도 의왕시,25211.0
2024,경기도 의왕시,24535.0
2025,경기도 의왕시,23582.0
2026,경기도 의왕시,23254.0
2027,경기도 의왕시,22914.0
2028,경기도 의왕시,22669.0
2029,경기도 의왕시,22402.0
2030,경기도 의왕시,22212.0
2021,경기도 의정부시,67172.0
2022,경기도 의정부시,66152.0
2023,경기도 의정부시,65001.0
2024,경기도 의정부시,62899.0
2025,경기도 의정부시,60755.0
2026,경기도 의정부시,59324.0
2027,경기도 의정부시,58171.0
2028,경기도 의정부시,57132.0
2029,경기도 의정부시,56284.0
2030,경기도 의정부시,55558.0
2021,경기도 이천시,36466.0
2022,경기도 이천시,35848.0
2023,경기도 이천시,35238.0
2024,경기도 이천시,34424.0
2025,경기도 이천시,33270.0
2026,경기도 이천시,32565.0
2027,경기도 이천시,31978.0
2028,경기도 이천시,31490.0
2029,경기도 이천시,31042.0
2030,경기도 이천시,30625.0
2021,경기도 파주시,78354.0
2022,경기도 파주시,78690.0
2023,경기도 파주시,79759.0
2024,경기도 파주시,79510.0
2025,경기도 파주시,78982.0
2026,경기도 파주시,78133.0
2027,경기도 파주시,77322.0
2028,경기도 파주시,76478.0
2029,경기도 파주시,75819.0
2030,경기도 파주시,75115.0
2021,경기도 평택시,84448.0
