,행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
126,충청북도,괴산군,2010,36827,16,15,179,473,170,83,4783,32044,충청북도 괴산군
127,충청북도,음성군,2010,91093,25,21,841,747,578,226,16670,74423,충청북도 음성군
128,충청북도,단양군,2010,31817,14,11,175,331,154,64,4913,26904,충청북도 단양군
129,충청북도,증평군,2010,33533,5,4,406,222,236,79,6532,27001,충청북도 증평군
130,충청남도,천안시,2010,557673,102,69,6382,2254,4180,1372,124901,432772,충청남도 천안시
131,충청남도,공주시,2010,124930,39,32,879,1093,610,265,23194,101736,충청남도 공주시
132,충청남도,보령시,2010,107346,35,29,811,863,617,251,19230,88116,충청남도 보령시
133,충청남도,아산시,2010,265191,49,42,3830,1308,2239,628,52782,212409,충청남도 아산시
134,충청남도,서산시,2010,160468,41,29,1715,997,1038,388,32929,127539,충청남도 서산시
135,충청남도,논산시,2010,127507,35,36,930,1125,642,303,22801,104706,충청남도 논산시
136,충청남도,계룡시,2010,43088,9,5,431,137,176,68,11413,31675,충청남도 계룡시
137,충청남도,금산군,2010,56555,19,16,515,601,329,127,8610,47945,충청남도 금산군
138,충청남도,부여군,2010,75029,28,25,424,833,368,161,12298,62731,충청남도 부여군
139,충청남도,서천군,2010,60085,20,18,345,680,249,102,9212,50873,충청남도 서천군
140,충청남도,청양군,2010,32541,14,13,201,440,153,58,4797,27744,충청남도 청양군
141,충청남도,홍성군,2010,88078,31,24,611,822,443,180,15888,72190,충청남도 홍성군
142,충청남도,예산군,2010,87002,29,24,546,889,432,193,14335,72667,충청남도 예산군
143,충청남도,태안군,2010,63247,25,20,403,540,318,162,9606,53641,충청남도 태안군
144,전라북도,전주시,2010,641525,112,67,5762,2919,3622,1161,151005,490520,전라북도 전주시
145,전라북도,군산시,2010,272601,58,53,2566,1751,1856,642,54777,217824,전라북도 군산시
146,전라북도,익산시,2010,307289,87,61,2631,1907,1726,707,66259,241030,전라북도 익산시
147,전라북도,정읍시,2010,122000,45,36,912,1166,584,282,23035,98965,전라북도 정읍시
148,전라북도,남원시,2010,87775,29,27,681,810,402,161,16630,71145,전라북도 남원시
149,전라북도,김제시,2010,94346,40,36,681,938,482,231,15014,79332,전라북도 김제시
150,전라북도,완주군,2010,85119,32,29,994,758,585,195,14319,70800,전라북도 완주군
151,전라북도,진안군,2010,27543,13,13,325,337,159,67,3681,23862,전라북도 진안군
152,전라북도,무주군,2010,25578,10,10,181,265,129,50,3766,21812,전라북도 무주군
153,전라북도,장수군,2010,23386,9,8,186,301,144,37,3372,20014,전라북도 장수군
154,전라북도,임실군,2010,30593,15,15,246,350,142,39,4150,26443,전라북도 임실군
155,전라북도,순창군,2010,30209,15,15,223,381,151,64,4490,25719,전라북도 순창군
156,전라북도,고창군,2010,60861,22,21,346,676,268,129,9932,50929,전라북도 고창군
157,전라북도,부안군,2010,60138,25,22,366,629,275,145,9642,50496,전라북도 부안군
158,전라남도,목포시,2010,245422,54,30,2601,1327,1526,619,54683,190739,전라남도 목포시
159,전라남도,여수시,2010,293488,72,51,2554,1797,1820,667,61928,231560,전라남도 여수시
160,전라남도,순천시,2010,272620,59,39,2136,1399,1424,600,66440,206180,전라남도 순천시
161,전라남도,나주시,2010,90118,26,20,572,983,442,195,14227,75891,전라남도 나주시
162,전라남도,광양시,2010,145512,38,28,1793,681,966,335,35218,110294,전라남도 광양시
163,전라남도,담양군,2010,47808,18,14,364,521,235,91,6849,40959,전라남도 담양군
164,전라남도,곡성군,2010,31886,8,8,197,387,135,49,4883,27003,전라남도 곡성군
165,전라남도,구례군,2010,27375,12,10,179,321,143,48,4118,23257,전라남도 구례군
166,전라남도,고흥군,2010,73924,25,18,399,995,314,157,9982,63942,전라남도 고흥군
167,전라남도,보성군,2010,48792,22,18,438,628,235,100,6817,41975,전라남도 보성군
168,전라남도,화순군,2010,69368,19,17,584,702,368,204,13064,56304,전라남도 화순군
169,전라남도,장흥군,2010,42394,17,15,234,504,166,71,6841,35553,전라남도 장흥군
170,전라남도,강진군,2010,41624,14,14,473,536,173,88,6720,34904,전라남도 강진군
171,전라남도,해남군,2010,79579,28,24,596,962,355,165,12899,66680,전라남도 해남군
172,전라남도,영암군,2010,60082,21,17,723,553,418,146,10146,49936,전라남도 영암군
173,전라남도,무안군,2010,74475,18,17,742,709,476,171,13455,61020,전라남도 무안군
174,전라남도,함평군,2010,36702,12,11,242,434,159,71,5307,31395,전라남도 함평군
175,전라남도,영광군,2010,57362,23,18,472,585,259,143,9703,47659,전라남도 영광군
176,전라남도,장성군,2010,46514,16,13,406,483,215,108,7061,39453,전라남도 장성군
177,전라남도,완도군,2010,54269,24,21,437,568,254,119,8164,46105,전라남도 완도군
178,전라남도,진도군,2010,33743,16,11,241,441,148,59,5141,28602,전라남도 진도군
179,전라남도,신안군,2010,45428,25,19,271,526,230,120,5705,39723,전라남도 신안군
180,경상북도,포항시,2010,514755,98,64,4587,2801,3195,1118,105625,409130,경상북도 포항시
181,경상북도,경주시,2010,267098,62,44,2071,1981,1399,528,50618,216480,경상북도 경주시
182,경상북도,김천시,2010,136136,36,33,1119,1152,650,257,24898,111238,경상북도 김천시
183,경상북도,안동시,2010,167886,41,31,1586,1483,802,327,29605,138281,경상북도 안동시
184,경상북도,구미시,2010,404920,81,49,4776,1401,3055,779,94966,309954,경상북도 구미시
185,경상북도,영주시,2010,113926,28,19,791,954,515,209,20829,93097,경상북도 영주시
186,경상북도,영천시,2010,103190,28,20,827,1010,497,214,16122,87068,경상북도 영천시
187,경상북도,상주시,2010,105607,39,30,692,1151,471,180,16953,88654,경상북도 상주시
188,경상북도,문경시,2010,77391,26,17,544,764,358,154,12779,64612,경상북도 문경시
189,경상북도,경산시,2010,240708,52,29,2423,1370,1554,545,46063,194645,경상북도 경산시
190,경상북도,군위군,2010,24736,11,10,110,354,114,54,2640,22096,경상북도 군위군
191,경상북도,의성군,2010,58832,20,19,315,773,242,91,6749,52083,경상북도 의성군
192,경상북도,청송군,2010,26715,9,9,121,344,120,54,3331,23384,경상북도 청송군
193,경상북도,영양군,2010,18451,9,6,84,241,74,22,2281,16170,경상북도 영양군
194,경상북도,영덕군,2010,41377,15,10,251,508,182,97,5392,35985,경상북도 영덕군
195,경상북도,청도군,2010,44391,18,14,197,589,181,78,5624,38767,경상북도 청도군
196,경상북도,고령군,2010,34678,12,11,239,370,147,69,4864,29814,경상북도 고령군
197,경상북도,성주군,2010,45289,17,15,258,547,210,100,6366,38923,경상북도 성주군
198,경상북도,칠곡군,2010,119087,34,21,1790,770,1179,361,22848,96239,경상북도 칠곡군
199,경상북도,예천군,2010,47049,13,11,257,625,193,71,6020,41029,경상북도 예천군
200,경상북도,봉화군,2010,34567,18,14,270,425,152,46,4369,30198,경상북도 봉화군
201,경상북도,울진군,2010,52430,19,14,342,552,233,93,8704,43726,경상북도 울진군
202,경상북도,울릉군,2010,10701,7,4,50,84,69,29,1419,9282,경상북도 울릉군
203,경상남도,창원시,2010,1090181,92,46,10865,4746,7276,2386,236080,854101,경상남도 창원시
204,경상남도,진주시,2010,335037,52,41,2876,1806,1854,678,72461,262576,경상남도 진주시
205,경상남도,통영시,2010,140297,32,20,1583,945,1099,391,25457,114840,경상남도 통영시
206,경상남도,사천시,2010,114148,25,19,1134,921,738,284,20316,93832,경상남도 사천시
207,경상남도,김해시,2010,503348,84,57,5607,2013,3238,1209,118950,384398,경상남도 김해시
208,경상남도,밀양시,2010,110479,29,23,686,1068,506,235,18554,91925,경상남도 밀양시
209,경상남도,거제시,2010,228355,50,35,3380,1019,2337,638,48370,179985,경상남도 거제시
210,경상남도,양산시,2010,260239,55,33,2706,1080,1677,648,56021,204218,경상남도 양산시
211,경상남도,의령군,2010,30162,14,14,224,376,126,60,3847,26315,경상남도 의령군
212,경상남도,함안군,2010,67207,22,18,604,601,382,159,11336,55871,경상남도 함안군
213,경상남도,창녕군,2010,61714,22,17,344,744,297,123,9151,52563,경상남도 창녕군
214,경상남도,고성군,2010,57231,19,19,467,628,369,150,8433,48798,경상남도 고성군
215,경상남도,남해군,2010,49328,12,13,242,689,191,87,7202,42126,경상남도 남해군
216,경상남도,하동군,2010,51509,17,18,317,575,250,113,7795,43714,경상남도 하동군
217,경상남도,산청군,2010,35591,13,13,214,443,135,79,4507,31084,경상남도 산청군
218,경상남도,함양군,2010,41197,13,13,276,469,206,66,6303,34894,경상남도 함양군
219,경상남도,거창군,2010,63421,16,17,421,688,277,100,11816,51605,경상남도 거창군
220,경상남도,합천군,2010,51092,20,20,257,691,212,97,6562,44530,경상남도 합천군
221,제주특별자치도,제주시,2010,417539,67,61,4249,2070,2544,1045,94649,322890,제주특별자치도 제주시
222,제주특별자치도,서귀포시,2010,153716,42,45,1408,947,971,421,30348,123368,제주특별자치도 서귀포시
223,서울특별시,종로구,2011,168382,17,14,1103,834,1062,367,28146,140236,서울특별시 종로구
224,서울특별시,중구,2011,133193,13,12,1105,666,920,292,19135,114058,서울특별시 중구
225,서울특별시,용산구,2011,246501,19,15,2309,1096,1866,530,37007,209494,서울특별시 용산구
226,서울특별시,성동구,2011,300711,30,20,2776,1252,2307,607,49222,251489,서울특별시 성동구
227,서울특별시,광진구,2011,371936,42,22,3184,1259,2766,740,64905,307031,서울특별시 광진구
228,서울특별시,동대문구,2011,365486,35,21,2947,1785,2344,834,58343,307143,서울특별시 동대문구
229,서울특별시,중랑구,2011,423706,33,22,3450,1890,2789,1068,72755,350951,서울특별시 중랑구
230,서울특별시,성북구,2011,485171,55,29,4414,2068,3109,886,82553,402618,서울특별시 성북구
231,서울특별시,강북구,2011,345054,23,14,2789,1684,2122,897,56459,288595,서울특별시 강북구
232,서울특별시,도봉구,2011,365573,29,23,3005,1543,2127,810,68060,297513,서울특별시 도봉구
233,서울특별시,노원구,2011,603930,72,42,5063,2436,3720,1120,127783,476147,서울특별시 노원구
234,서울특별시,은평구,2011,493634,44,31,4318,2113,3205,999,87297,406337,서울특별시 은평구
235,서울특별시,서대문구,2011,314852,25,18,2368,1420,2025,640,53334,261518,서울특별시 서대문구
236,서울특별시,마포구,2011,389493,32,22,3859,1615,3147,754,62453,327040,서울특별시 마포구
237,서울특별시,양천구,2011,500210,47,29,3727,1698,2777,903,110801,389409,서울특별시 양천구
238,서울특별시,강서구,2011,569072,44,36,5753,2246,4276,1198,101518,467554,서울특별시 강서구
239,서울특별시,구로구,2011,427468,32,23,4633,1583,3470,899,69253,358215,서울특별시 구로구
240,서울특별시,금천구,2011,243438,17,18,1927,1081,1662,701,40789,202649,서울특별시 금천구
241,서울특별시,영등포구,2011,397443,40,23,4050,1621,3342,863,61984,335459,서울특별시 영등포구
242,서울특별시,동작구,2011,401408,30,20,3837,1553,3085,736,63805,337603,서울특별시 동작구
243,서울특별시,관악구,2011,526397,37,22,4729,1945,4372,1080,75264,451133,서울특별시 관악구
244,서울특별시,서초구,2011,433564,23,22,4190,1313,3040,635,82189,351375,서울특별시 서초구
245,서울특별시,강남구,2011,565710,33,30,4761,1638,3657,860,109685,456025,서울특별시 강남구
246,서울특별시,송파구,2011,682209,48,37,6574,2203,4893,1212,129799,552410,서울특별시 송파구
247,서울특별시,강동구,2011,495138,37,26,4655,1778,3436,986,90885,404253,서울특별시 강동구
248,부산광역시,중구,2011,48686,2,5,324,351,296,147,6494,42192,부산광역시 중구
249,부산광역시,서구,2011,64733,12,16,567,467,399,163,19182,55253,부산광역시 서구
250,부산광역시,동구,2011,100420,10,8,667,787,561,235,14375,86045,부산광역시 동구
251,부산광역시,영도구,2011,143205,15,14,851,1061,757,342,22071,121134,부산광역시 영도구
252,부산광역시,부산진구,2011,395044,45,32,3288,2267,2548,814,64001,331043,부산광역시 부산진구
253,부산광역시,동래구,2011,283742,28,22,2051,1411,1486,519,53116,230626,부산광역시 동래구
254,부산광역시,남구,2011,295121,21,20,2325,1630,1552,622,51399,243722,부산광역시 남구
255,부산광역시,북구,2011,307988,31,26,2319,1538,1671,638,63191,244797,부산광역시 북구
256,부산광역시,해운대구,2011,425618,37,32,3493,1987,2209,857,86682,338936,부산광역시 해운대구
257,부산광역시,사하구,2011,355443,42,27,3239,1824,2284,774,66577,288866,부산광역시 사하구
258,부산광역시,금정구,2011,254720,26,21,1621,1349,1216,479,46208,208512,부산광역시 금정구
259,부산광역시,강서구,2011,64733,12,16,567,467,399,163,9480,55253,부산광역시 강서구
260,부산광역시,연제구,2011,213326,14,16,1669,1111,1231,403,37201,176125,부산광역시 연제구
261,부산광역시,수영구,2011,176691,21,10,1309,972,1027,377,28214,148477,부산광역시 수영구
262,부산광역시,사상구,2011,254413,30,21,2196,1274,1661,554,45830,208583,부산광역시 사상구
263,부산광역시,기장군,2011,108095,20,16,1165,610,682,270,19317,88778,부산광역시 기장군
264,대구광역시,중구,2011,76600,12,10,563,527,403,153,10873,65727,대구광역시 중구
265,대구광역시,서구,2011,606542,77,52,5333,2472,3265,1039,37875,471303,대구광역시 서구
266,대구광역시,북구,2011,449775,68,38,4295,2002,2574,818,97511,352264,대구광역시 북구
267,대구광역시,수성구,2011,461083,47,34,2877,1966,1845,671,112054,349029,대구광역시 수성구
268,대구광역시,달서구,2011,606542,77,52,5333,2472,3265,1039,135239,471303,대구광역시 달서구
269,대구광역시,달성군,2011,180351,40,25,2049,972,1177,380,36629,143722,대구광역시 달성군
270,인천광역시,중구,2011,93581,12,12,867,570,707,286,15418,78163,인천광역시 중구
271,인천광역시,동구,2011,495469,71,36,5010,1994,3200,1135,12874,394606,인천광역시 동구
272,인천광역시,연수구,2011,287903,35,21,2324,1090,1580,563,67858,220045,인천광역시 연수구
273,인천광역시,남동구,2011,495469,71,36,5010,1994,3200,1135,100863,394606,인천광역시 남동구
274,인천광역시,부평구,2011,560936,68,42,5142,2547,3624,1375,113215,447721,인천광역시 부평구
275,인천광역시,계양구,2011,344299,39,26,3339,1280,2246,917,76123,268176,인천광역시 계양구
276,인천광역시,서구,2011,436134,70,37,4362,1538,2757,1112,96432,339702,인천광역시 서구
277,인천광역시,강화군,2011,66779,21,22,306,639,264,133,9652,57127,인천광역시 강화군
278,인천광역시,옹진군,2011,19485,11,6,156,138,132,49,2418,17067,인천광역시 옹진군
279,광주광역시,동구,2011,106495,16,11,781,667,547,222,17632,88863,광주광역시 동구
280,광주광역시,서구,2011,317936,53,27,2726,1305,1891,577,75258,242678,광주광역시 서구
281,광주광역시,남구,2011,219041,38,21,1679,1129,1186,388,47785,171256,광주광역시 남구
282,광주광역시,북구,2011,444483,84,46,4054,2102,2733,877,99958,344525,광주광역시 북구
283,광주광역시,광산구,2011,375509,67,42,4676,1390,2589,793,95459,280050,광주광역시 광산구
284,대전광역시,동구,2011,251285,37,23,2376,1441,1665,585,45171,206114,대전광역시 동구
285,대전광역시,중구,2011,265502,40,27,2321,1344,1507,587,51709,213793,대전광역시 중구
286,대전광역시,서구,2011,499124,71,37,4751,1739,3259,960,113598,385526,대전광역시 서구
287,대전광역시,유성구,2011,294353,57,34,3531,898,2056,432,68703,225650,대전광역시 유성구
288,대전광역시,대덕구,2011,205339,34,20,1829,914,1239,503,44809,160530,대전광역시 대덕구
289,울산광역시,중구,2011,232634,30,20,1838,1009,1401,538,49024,183610,울산광역시 중구
