행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
강원특별자치도,양양군,2021,27913.0,14.0,13.0,84.0,311.0,76.0,63.0,2931.0,24982.0,강원특별자치도 양양군
강원특별자치도,양양군,2022,27866.0,14.0,13.0,84.0,364.0,99.0,68.0,2757.0,25109.0,강원특별자치도 양양군
강원특별자치도,양양군,2023,27834.0,14.0,13.0,86.0,360.0,95.0,67.0,2630.0,25184.0,강원특별자치도 양양군
강원특별자치도,양양군,2024,27853.0,14.0,13.0,84.0,360.0,95.0,66.0,2503.0,25221.0,강원특별자치도 양양군
강원특별자치도,양양군,2025,27842.0,14.0,13.0,86.0,360.0,95.0,66.0,2377.0,25240.0,강원특별자치도 양양군
강원특별자치도,양양군,2026,27848.0,14.0,13.0,84.0,360.0,95.0,66.0,2252.0,25250.0,강원특별자치도 양양군
강원특별자치도,양양군,2027,27845.0,14.0,13.0,86.0,360.0,95.0,66.0,2127.0,25254.0,강원특별자치도 양양군
강원특별자치도,양양군,2028,27847.0,14.0,13.0,84.0,360.0,95.0,66.0,2002.0,25257.0,강원특별자치도 양양군
강원특별자치도,양양군,2029,27846.0,14.0,13.0,86.0,360.0,95.0,66.0,1879.0,25258.0,강원특별자치도 양양군
강원특별자치도,양양군,2030,27846.0,14.0,13.0,85.0,360.0,95.0,66.0,1755.0,25258.0,강원특별자치도 양양군
강원특별자치도,양양군,2031,27846.0,14.0,13.0,86.0,360.0,95.0,66.0,1633.0,25259.0,강원특별자치도 양양군
강원특별자치도,양양군,2032,27846.0,14.0,13.0,85.0,360.0,95.0,66.0,1510.0,25259.0,강원특별자치도 양양군
강원특별자치도,영월군,2010,40407.0,18.0,13.0,233.0,427.0,171.0,103.0,6463.0,33944.0,강원특별자치도 영월군
강원특별자치도,영월군,2011,40199.0,16.0,13.0,234.0,385.0,200.0,91.0,6295.0,33904.0,강원특별자치도 영월군
강원특별자치도,영월군,2012,40155.0,15.0,13.0,197.0,416.0,167.0,85.0,6223.0,33932.0,강원특별자치도 영월군
강원특별자치도,영월군,2013,40150.0,15.0,13.0,182.0,412.0,175.0,80.0,6122.0,34028.0,강원특별자치도 영월군
강원특별자치도,영월군,2014,40191.0,15.0,13.0,172.0,413.0,144.0,77.0,5964.0,34227.0,강원특별자치도 영월군
강원특별자치도,영월군,2015,40216.0,15.0,13.0,166.0,412.0,168.0,82.0,5740.0,34476.0,강원특별자치도 영월군
강원특별자치도,영월군,2016,40073.0,15.0,13.0,163.0,406.0,182.0,91.0,5531.0,34542.0,강원특별자치도 영월군
강원특별자치도,영월군,2017,40067.0,15.0,13.0,142.0,447.0,139.0,77.0,5355.0,34712.0,강원특별자치도 영월군
강원특별자치도,영월군,2018,39730.0,15.0,13.0,122.0,405.0,145.0,75.0,5146.0,34584.0,강원특별자치도 영월군
강원특별자치도,영월군,2019,39127.0,15.0,13.0,121.0,432.0,138.0,103.0,4822.0,34305.0,강원특별자치도 영월군
강원특별자치도,영월군,2020,38662.0,14.0,13.0,123.0,404.0,106.0,94.0,4576.0,34086.0,강원특별자치도 영월군
강원특별자치도,영월군,2021,37904.0,14.0,13.0,91.0,448.0,95.0,74.0,4325.0,33579.0,강원특별자치도 영월군
강원특별자치도,영월군,2022,37728.0,14.0,13.0,95.0,573.0,100.0,70.0,4124.0,33604.0,강원특별자치도 영월군
강원특별자치도,영월군,2023,37728.0,14.0,13.0,85.0,571.0,99.0,68.0,3915.0,33570.0,강원특별자치도 영월군
강원특별자치도,영월군,2024,37728.0,14.0,13.0,75.0,569.0,99.0,69.0,3714.0,33548.0,강원특별자치도 영월군
강원특별자치도,영월군,2025,37728.0,14.0,13.0,65.0,566.0,99.0,68.0,3519.0,33534.0,강원특별자치도 영월군
강원특별자치도,영월군,2026,37728.0,14.0,13.0,54.0,564.0,99.0,68.0,3331.0,33524.0,강원특별자치도 영월군
강원특별자치도,영월군,2027,37728.0,14.0,13.0,44.0,562.0,99.0,68.0,3149.0,33518.0,강원특별자치도 영월군
강원특별자치도,영월군,2028,37728.0,14.0,13.0,34.0,560.0,99.0,68.0,2974.0,33514.0,강원특별자치도 영월군
강원특별자치도,영월군,2029,37728.0,14.0,13.0,24.0,558.0,99.0,68.0,2804.0,33511.0,강원특별자치도 영월군
강원특별자치도,영월군,2030,37728.0,14.0,13.0,14.0,557.0,99.0,68.0,2640.0,33510.0,강원특별자치도 영월군
강원특별자치도,영월군,2031,37728.0,14.0,13.0,4.0,555.0,99.0,68.0,2481.0,33508.0,강원특별자치도 영월군
강원특별자치도,영월군,2032,37728.0,14.0,13.0,-6.0,553.0,99.0,68.0,2328.0,33508.0,강원특별자치도 영월군
강원특별자치도,원주시,2010,314678.0,61.0,46.0,2939.0,1692.0,1855.0,771.0,68148.0,246530.0,강원특별자치도 원주시
강원특별자치도,원주시,2011,320536.0,61.0,47.0,2943.0,1648.0,1863.0,796.0,68855.0,251681.0,강원특별자치도 원주시
강원특별자치도,원주시,2012,323885.0,65.0,47.0,2979.0,1808.0,1894.0,782.0,67799.0,256086.0,강원특별자치도 원주시
강원특별자치도,원주시,2013,324837.0,66.0,47.0,2546.0,1790.0,1756.0,845.0,66383.0,258454.0,강원특별자치도 원주시
강원특별자치도,원주시,2014,327292.0,70.0,48.0,2509.0,1784.0,1708.0,799.0,64692.0,262600.0,강원특별자치도 원주시
강원특별자치도,원주시,2015,332995.0,71.0,48.0,2605.0,1836.0,1789.0,843.0,63605.0,269390.0,강원특별자치도 원주시
강원특별자치도,원주시,2016,337979.0,73.0,49.0,2468.0,1927.0,1763.0,823.0,62770.0,275209.0,강원특별자치도 원주시
강원특별자치도,원주시,2017,341337.0,72.0,49.0,2291.0,1998.0,1740.0,795.0,61505.0,279832.0,강원특별자치도 원주시
강원특별자치도,원주시,2018,344070.0,72.0,49.0,2041.0,1998.0,1645.0,843.0,60355.0,283715.0,강원특별자치도 원주시
강원특별자치도,원주시,2019,349215.0,71.0,50.0,2146.0,2061.0,1698.0,862.0,59177.0,290038.0,강원특별자치도 원주시
강원특별자치도,원주시,2020,354376.0,73.0,50.0,2076.0,2133.0,1514.0,778.0,58029.0,296347.0,강원특별자치도 원주시
강원특별자치도,원주시,2021,357757.0,72.0,51.0,2035.0,2220.0,1482.0,746.0,56844.0,300913.0,강원특별자치도 원주시
강원특별자치도,원주시,2022,360807.0,73.0,51.0,2071.0,2667.0,1457.0,742.0,55269.0,305538.0,강원특별자치도 원주시
강원특별자치도,원주시,2023,364610.0,73.0,51.0,2071.0,2820.0,1466.0,767.0,55269.0,310450.0,강원특별자치도 원주시
강원특별자치도,원주시,2024,368408.0,74.0,51.0,2071.0,2961.0,1460.0,780.0,55269.0,315362.0,강원특별자치도 원주시
강원특별자치도,원주시,2025,372202.0,74.0,51.0,2071.0,3093.0,1464.0,787.0,55269.0,320274.0,강원특별자치도 원주시
강원특별자치도,원주시,2026,375991.0,74.0,51.0,2071.0,3216.0,1461.0,791.0,55269.0,325186.0,강원특별자치도 원주시
강원특별자치도,원주시,2027,379775.0,74.0,51.0,2071.0,3329.0,1463.0,793.0,55269.0,330098.0,강원특별자치도 원주시
강원특별자치도,원주시,2028,383555.0,74.0,51.0,2071.0,3435.0,1462.0,794.0,55269.0,335009.0,강원특별자치도 원주시
강원특별자치도,원주시,2029,387331.0,74.0,51.0,2071.0,3533.0,1463.0,795.0,55269.0,339920.0,강원특별자치도 원주시
